,dates,AOD
0,2018-01-01,0.531499981880188
1,2018-01-09,0.5393333435058594
2,2018-01-17,0.6384285688400269
3,2018-01-25,0.6876999735832214
4,2018-02-02,0.5088000297546387
5,2018-02-10,0.6525713801383972
6,2018-02-18,0.734499990940094
7,2018-02-26,0.6367272734642029
8,2018-03-06,0.5419999957084656
9,2018-03-14,0.6558333039283752
10,2018-03-22,0.5452499985694885
11,2018-03-30,0.6663333773612976
12,2018-04-07,0.6384166479110718
13,2018-04-15,0.6199166774749756
14,2018-04-23,0.6119166016578674
15,2018-05-01,0.8013333678245544
16,2018-05-09,0.9890832901000977
17,2018-05-17,0.8425833582878113
18,2018-05-25,0.6931666731834412
19,2018-06-02,0.7931666374206543
20,2018-06-10,0.9724999666213989
21,2018-06-18,0.8176665902137756
22,2018-06-26,
23,2018-07-04,1.0
24,2018-07-12,
25,2018-07-20,
26,2018-07-28,1.0
27,2018-08-05,1.0
28,2018-08-13,1.0
29,2018-08-21,
30,2018-08-29,
31,2018-09-06,0.7329166531562805
32,2018-09-14,0.5990833640098572
33,2018-09-22,0.6939167380332947
34,2018-09-30,0.5341666340827942
35,2018-10-08,0.7464166283607483
36,2018-10-16,0.7607500553131104
37,2018-10-24,0.8993332982063293
38,2018-11-01,0.6518332958221436
39,2018-11-09,0.766083300113678
40,2018-11-17,0.6303333640098572
41,2018-11-25,0.6074166893959045
42,2018-12-03,0.6521666646003723
43,2018-12-11,0.6193000078201294
44,2018-12-19,0.7766665816307068
45,2018-12-27,0.7163000106811523
